month,revenue,profit,orders,units_sold,margin_pct
2025-01,24650.91,6996.33,260,376,0.28381629724825574
2025-02,22051.91,6446.88,219,316,0.2923501864464348
2025-03,24095.17,6841.23,269,394,0.28392536761516934
2025-04,21854.38,6116.4,248,352,0.27987067123386705
2025-05,26806.98,7648.91,288,420,0.2853327752697245
2025-06,23970.41,6874.98,262,356,0.28681111420288596
2025-07,27988.47,8071.21,307,437,0.288376249219768
2025-08,24839.96,7033.6,262,381,0.2831566556467885
2025-09,24981.68,7111.07,262,397,0.28465139254045363
2025-10,22791.74,6644.8,268,369,0.29154421733487657
2025-11,27176.99,7936.99,258,427,0.2920481628024295
2025-12,30099.88,8245.76,297,479,0.273946607096108
