product_id,product_name,category,revenue,profit,units_sold,orders,margin_pct
SKU-1036,Monitor Stand,Office,25725.74,6649.03,173,123,0.25845826009280976
SKU-1002,Bluetooth Speaker,Electronics,17613.47,2765.67,170,119,0.15702016695177043
SKU-1009,Power Bank,Electronics,13602.51,2510.91,120,82,0.18459166727317236
SKU-1035,Monitor Stand,Office,11859.17,4984.37,204,142,0.42029669867284136
SKU-1019,Electric Kettle,Home & Kitchen,10975.89,3977.25,132,93,0.3623624143463537
SKU-1007,Power Bank,Electronics,10784.39,3500.6299999999997,89,61,0.32460157690884694
SKU-1061,Running Belt,Sports,10573.04,4147.67,147,97,0.3922873648449263
SKU-1034,Gel Pen Set,Office,9751.960000000001,3762.96,50,36,0.38586704621429946
SKU-1005,Wireless Earbuds,Electronics,9166.05,3335.97,96,69,0.3639484838070925
SKU-1014,Mechanical Keyboard,Electronics,8854.19,2321.07,88,61,0.2621436856448755
SKU-1012,USB-C Hub,Electronics,8673.59,2363.37,137,93,0.2724788697644228
SKU-1011,USB-C Hub,Electronics,8310.33,3520.08,75,52,0.42357884704939514
SKU-1001,Bluetooth Speaker,Electronics,8086.75,2139.08,71,47,0.2645166476025597
SKU-1057,Water Bottle,Sports,7829.71,3233.9,251,172,0.41302934591447193
SKU-1025,Desk Lamp,Home & Kitchen,7270.99,1533.19,73,59,0.21086399513683832
SKU-1024,Blender,Home & Kitchen,6984.95,1364.95,125,78,0.19541299508228407
SKU-1015,Mechanical Keyboard,Electronics,6636.88,1459.92,64,44,0.21997082966695194
SKU-1040,Office Chair,Office,6447.7300000000005,1545.25,44,31,0.2396579881601742
SKU-1056,Resistance Bands,Sports,5505.889999999999,2052.01,158,98,0.37269360630161524
SKU-1053,Yoga Mat,Sports,5461.93,1775.63,191,134,0.32509204621809507
SKU-1003,Bluetooth Speaker,Electronics,5017.21,1819.06,45,31,0.3625640545243273
SKU-1026,Desk Lamp,Home & Kitchen,4970.16,1091.44,124,84,0.21959856423133262
SKU-1030,Storage Box,Home & Kitchen,4931.86,904.06,84,51,0.18331015073420576
SKU-1010,USB-C Hub,Electronics,4717.85,839.15,210,138,0.1778670368918045
SKU-1021,Electric Kettle,Home & Kitchen,4643.05,1283.1100000000001,58,39,0.2763506746642832
SKU-1060,Running Belt,Sports,4596.7,1804.0,58,38,0.39245545717580005
SKU-1008,Power Bank,Electronics,4357.8,1835.88,71,49,0.42128596998485474
SKU-1033,Gel Pen Set,Office,3737.82,535.67,49,33,0.1433108068339299
SKU-1016,Air Fryer,Home & Kitchen,3615.14,870.32,39,25,0.2407430970861433
SKU-1022,Blender,Home & Kitchen,3420.55,1050.52,39,27,0.3071201999678414
SKU-1006,Wireless Earbuds,Electronics,3326.4,996.97,73,52,0.29971440596440596
SKU-1023,Blender,Home & Kitchen,3199.62,699.22,47,29,0.218532200698833
SKU-1020,Electric Kettle,Home & Kitchen,3164.43,584.58,45,30,0.18473469155582525
SKU-1028,Storage Box,Home & Kitchen,3012.49,1093.27,58,41,0.3629124080079934
SKU-1004,Wireless Earbuds,Electronics,2962.46,743.66,40,25,0.251027861979571
SKU-1027,Desk Lamp,Home & Kitchen,2944.1,1080.9099999999999,43,27,0.3671444584083421
SKU-1017,Air Fryer,Home & Kitchen,2734.13,525.44,33,27,0.1921781334464711
SKU-1042,Face Cleanser,Beauty,2615.63,376.39,89,65,0.1439003222932907
SKU-1031,Notebook,Office,2608.86,902.42,74,51,0.3459058745965671
SKU-1032,Notebook,Office,2606.24,574.88,32,20,0.22057830437718706
SKU-1064,Dumbbell Set,Sports,1925.2,810.85,69,51,0.4211770205692915
SKU-1038,Desk Organizer,Office,1867.85,396.59,42,30,0.21232433011216104
SKU-1063,Dumbbell Set,Sports,1843.82,270.78,53,37,0.14685815318198087
SKU-1044,Sunscreen,Beauty,1842.46,351.62,47,27,0.1908426777243468
SKU-1054,Resistance Bands,Sports,1607.96,276.71,25,12,0.1720876141197542
SKU-1050,Makeup Brush Set,Beauty,1573.56,406.71,45,29,0.2584648821779913
SKU-1041,Face Cleanser,Beauty,1528.93,459.65000000000003,41,32,0.30063508466705474
SKU-1051,Yoga Mat,Sports,1339.07,521.87,20,11,0.38972570515357674
SKU-1048,Hair Dryer,Beauty,1320.8700000000001,530.0699999999999,40,23,0.40130368620681817
SKU-1052,Yoga Mat,Sports,1213.85,204.85,25,15,0.1687605552580632
