week,revenue,profit,orders,units_sold,margin_pct
2024-12-30/2025-01-05,4605.8,1099.57,49,70,0.2387359416388032
2025-01-06/2025-01-12,5965.51,1748.95,62,91,0.2931769454749049
2025-01-13/2025-01-19,5508.94,1596.85,55,83,0.2898652009279462
2025-01-20/2025-01-26,5587.29,1700.4099999999999,58,82,0.30433537546825024
2025-01-27/2025-02-02,3963.29,1183.42,44,64,0.2985953589063632
2025-02-03/2025-02-09,6535.97,1888.94,70,98,0.2890068344866944
2025-02-10/2025-02-16,5433.65,1523.98,46,69,0.28047077010849064
2025-02-17/2025-02-23,5568.95,1546.68,55,80,0.2777327862523456
2025-02-24/2025-03-02,5664.28,1768.3,54,79,0.3121844259111485
2025-03-03/2025-03-09,5285.04,1553.13,66,90,0.2938728940556741
2025-03-10/2025-03-16,4351.7,1321.45,49,76,0.3036629363237356
2025-03-17/2025-03-23,6267.02,1661.1,76,112,0.26505420439060345
2025-03-24/2025-03-30,5908.37,1651.69,59,87,0.27955087443745064
2025-03-31/2025-04-06,4182.47,1154.43,51,76,0.2760163252814724
2025-04-07/2025-04-13,5089.52,1426.46,60,84,0.2802739747559691
2025-04-14/2025-04-20,5613.74,1526.04,61,87,0.27184016359859914
2025-04-21/2025-04-27,4536.61,1211.7,54,74,0.2670937109427524
2025-04-28/2025-05-04,5629.18,1701.6000000000001,61,79,0.3022820375258919
2025-05-05/2025-05-11,5477.1900000000005,1598.59,64,91,0.2918631634104349
2025-05-12/2025-05-18,6738.92,2017.92,70,113,0.2994426406605213
2025-05-19/2025-05-25,6202.54,1719.82,68,95,0.2772767285660391
2025-05-26/2025-06-01,6375.6,1696.82,62,89,0.26614279440366395
2025-06-02/2025-06-08,4909.32,1382.2,58,81,0.2815461204403054
2025-06-09/2025-06-15,4375.21,1225.8,52,76,0.2801694090112246
2025-06-16/2025-06-22,6272.78,1911.51,69,88,0.3047309167546128
2025-06-23/2025-06-29,6850.32,1983.7,67,92,0.28957771315792546
2025-06-30/2025-07-06,5239.96,1485.35,58,85,0.2834659043198803
2025-07-07/2025-07-13,5121.47,1438.98,62,94,0.28097011209672224
2025-07-14/2025-07-20,6525.0199999999995,1945.14,70,90,0.2981048333951467
2025-07-21/2025-07-27,8352.64,2415.61,83,116,0.28920317408627694
2025-07-28/2025-08-03,6116.65,1694.9,66,101,0.27709612287771906
2025-08-04/2025-08-10,6169.92,1720.84,68,91,0.27890799232404956
2025-08-11/2025-08-17,5311.66,1685.49,55,88,0.31731887959696214
2025-08-18/2025-08-24,5412.66,1586.06,57,78,0.29302782735290966
2025-08-25/2025-08-31,5109.0,1256.11,56,83,0.24586220395380698
2025-09-01/2025-09-07,6895.23,2039.3600000000001,63,109,0.2957638831482054
2025-09-08/2025-09-14,6509.69,1889.42,74,100,0.29024730824355693
2025-09-15/2025-09-21,4411.2300000000005,1188.51,53,78,0.2694282547044701
2025-09-22/2025-09-28,5614.32,1563.8,58,85,0.2785377392097351
2025-09-29/2025-10-05,5986.8,1688.6599999999999,62,95,0.2820638738558161
2025-10-06/2025-10-12,5081.72,1365.82,63,89,0.2687712034508001
2025-10-13/2025-10-19,5489.17,1799.49,58,78,0.32782551824774964
2025-10-20/2025-10-26,4417.1,1259.9,64,81,0.28523239229358627
2025-10-27/2025-11-02,6346.42,1843.73,56,90,0.2905149674934845
2025-11-03/2025-11-09,5865.74,1753.16,65,110,0.2988813005690672
2025-11-10/2025-11-16,6609.36,1982.44,69,111,0.29994432138663957
2025-11-17/2025-11-23,7282.9,1969.3400000000001,59,97,0.27040601958011234
2025-11-24/2025-11-30,4440.73,1349.23,44,70,0.30383067648787476
2025-12-01/2025-12-07,6163.8,1696.28,57,92,0.2752003634121808
2025-12-08/2025-12-14,5671.72,1472.2,68,109,0.25956852594980007
2025-12-15/2025-12-21,6711.17,1813.36,66,101,0.27020027804391783
2025-12-22/2025-12-28,7331.150000000001,2052.14,68,115,0.2799206127278803
2025-12-29/2026-01-04,4222.04,1211.78,38,62,0.287012913188885
